"lang"
{
	"Language"		"English"



		"nydp1"		"6 months WODA Plus"
		"nydp2"		"Christmas Bundle"
		"nydp3"		"Zeus Bundle"
		"nydp4"		"Kez Bundle"
		"nydp5"		"Jakiro Bundle"
		"nydp6"		"Pangolier Bundle"
		"nydp7"		"Lina Bundle"

		"nydp1_description"			"<font color='#eabe10'>+100%</font> Coin Bonus for Games <br> <font color='#eabe10'>+100%</font> Hero Leveling Bonus <br> <font color='#eabe10'>+1</font> Re-roll Neutral Items"
		"nydp2_description"			"Pet <font color='#eabe10'>Scuttling Scotty</font><br>Effect <font color='#eabe10'>New Year Hat </font>"
		"nydp3_description"			"Pet <font color='#eabe10'>Lefty Linken's Sphere</font><br>Effect <font color='#eabe10'>Spark Glow </font>"
		"nydp4_description"			"Pet <font color='#eabe10'>Beaver Knight</font><br>Effect <font color='#eabe10'>Neon Music </font>"
		"nydp5_description"			"Pet <font color='#eabe10'>Lord of Tempests</font><br>Effect <font color='#eabe10'>Ice Mist </font>"
		"nydp6_description"			"Pet <font color='#eabe10'>Brightskye Soul Booster</font><br>Effect <font color='#eabe10'>Purple Glow </font>"
		"nydp7_description"			"Pet <font color='#eabe10'>Amaterasu</font><br>Effect <font color='#eabe10'>Radiance Burst</font>"



		"subscribe_plus_new"		"New Player Bundle"
		"subscribe_plus_bk1"		"Burning Crusade Bundle"
		"subscribe_plus_bk2"		"Bundle with Emblem"

		"subscribe_plus_bs1"		"Black Sea Bundle"
		"subscribe_plus_bs2"		"Bundle with Emblem"

		"subscribe_plus_1"			"WODA Plus"
		"subscribe_plus_2"			"6 months WODA Plus"
		"subscribe_plus_3"			"12 months WODA Plus"

		"subscribe_plus_new_description"			"<font color='#eabe10'>7 days</font> WODA Plus<br>New Player Bundle will help you get used to the game faster<br><font color='#eabe10'>World of Dota</font>!"
		"subscribe_plus_bk1_description"			"<font color='#eabe10'>450</font> Coins<br>Pet <font color='#eabe10'>Spooly</font><br><font color='#eabe10'>1 month</font> WODA Plus<br><br><br>Purchase limit: <font color='#eabe10'>1</font>"
		"subscribe_plus_bk2_description"			"<font color='#eabe10'>1350</font> Coins<br>Effect <font color='#eabe10'>Halloween Green</font><br><font color='#eabe10'>2 months</font> WODA Plus<br><br><br>Purchase limit: <font color='#eabe10'>1</font>"

		"subscribe_plus_bs1_description"			"<font color='#eabe10'>450</font> Coins<br>Pet <font color='#eabe10'>Hyeonmu</font><br><font color='#eabe10'>1 month</font> WODA Plus<br><br><br>Purchase limit: <font color='#eabe10'>1</font>"
		"subscribe_plus_bs2_description"			"<font color='#eabe10'>900</font> Coins<br>Effect <font color='#eabe10'>Black Gold</font><br><font color='#eabe10'>1 month</font> WODA Plus<br><br><br>Purchase limit: <font color='#eabe10'>1</font>"

		"subscribe_plus_1_description"				"<font color='#eabe10'>+100%</font> Coin Bonus for Games <br> <font color='#eabe10'>+100%</font> Hero Leveling Bonus <br> <font color='#eabe10'>+1</font> Re-roll Neutral Items"
		"subscribe_plus_2_description"				"<font color='#eabe10'>2700</font> Coins<br><font color='#eabe10'>+50%</font> Coin Bonus for Games <br> <font color='#eabe10'>+50%</font> Hero Leveling Bonus <br> <font color='#eabe10'>+1</font> Re-roll Neutral Items<br><font color='#eabe10'>+2</font> Locked Hero Everyday"
		"subscribe_plus_3_description"				"<font color='#eabe10'>5400</font> Coins<br><font color='#eabe10'>+50%</font> Coin Bonus for Games <br> <font color='#eabe10'>+50%</font> Hero Leveling Bonus <br> <font color='#eabe10'>+1</font> Re-roll Neutral Items<br><font color='#eabe10'>+2</font> Locked Hero Everyday"


"donate_change_crystals_1"					"Coins"
"donate_change_crystals_1_description"		"Exchange 100 Crystals for 100 Coins"

"coin_information"							"You can earn Coins simply by playing World of Dota. The higher your position in the game, the more coins you get."
"crystal_information"						"Crystals can be purchased in the store, which supports the project. They will appear in the next game after purchase."

"woda_reroll_neutrals_items"				"Refresh list."

"donate_shop_error"							"Error"
"donate_shop_aceept"						"Success"
"donate_shop_loading"						"Loading"
"shop_error_no_crystals"					"Not enough Crystals"
"shop_error_no_coins"						"Not enough Coins"

"shop_error_nothing_player"				"Player not found"
"shop_error_promo_used"					"Promo code already used"
"shop_error_promo_null"					"Promo code does not exist"
"promo_entry"							"Enter promo code"


		"tipped_0"						""
		"tipped_435"					"Creep, Creep!"
		"tipped_436"					"Well done!"
		"tipped_437"					"What did you do?"
		"tipped_438"					"Seeeeeeeeeeeeeb!"
		"tipped_439"					"Clown!"
		"tipped_440"					"Ingeniously!"
		"tipped_441"					"Tip me, tip me!"
		"tipped_442"					"Are you okay?"
		"tipped_443"					"I condemn!"
		"tipped_444"					"Oops, that's for the wards!"
		"tipped_445"					"Daubi, daubi!"
		"tipped_446"					"Ahahahaha!"
		"tipped_447"					"Hey bandit!"
		"tipped_448"					"Bon appetit!"
		"tipped_449"					"Subscribe!"
		"tipped_450"					"Panda Live?"
		"tipped_451"					"I'm a talent!"
		"tipped_452"					"1000-7"
		"tipped_453"					"Chponk!"
		"tipped_454"					"Where is help?"
		"tipped_455"					"Oyoyo!"
		"tipped_456"					"Catch the first aid kit!"
		"tipped_457"					"You stink of weakness!"
		"tipped_458"					"It's GG."
		"tipped_459"					"And how to tip?"
		"tipped_460"					"For the Alliance!"
		"tipped_461"					"For the Horde!"
		"tipped_462"					"Beer? Beer!"

		"tipped_463"					"Easier for Radiance."
		"tipped_464"					"Rest!"
		"tipped_465"					"Oh, what's wrong?"
		"tipped_466"					"He's a genius."
		"tipped_467"					"Farmed?"
		"tipped_468"					"Regular Top-8"
		"tipped_469"					"Is this even legal?"
		"tipped_470"					"Again -40"
		"tipped_471"					"Hush brother, hush."
		"tipped_472"					"GG, tima rakov."
		"tipped_473"					"Fresh meat."
		"tipped_474"					"I love me."
		"tipped_475"					"Will you cry?"
		"tipped_476"					"Not by chance, friend."
		"tipped_477"					"What's the hate?!"
		"tipped_478"					"Fix please."
		"tipped_479"					"Oh, lucky, lucky."
		"tipped_480"					"Uncle, are you okay?"
		"tipped_481"					"Bruh!"
		"tipped_482"					"Well guys, I'm leaving."

		"tipped_405"					"Chipi Chipi."
		"tipped_406"					"Chapa Chapa."
		"tipped_407"					"Dubi Dubi."
		"tipped_408"					"Daba Daba."
		"tipped_409"					"Mediocrity."
		"tipped_410"					"Disgrace yourself."
		"tipped_411"					"Out of balance."
		"tipped_412"					"Another TIP."
		"tipped_413"					"NYAH!"
		"tipped_414"					"Wrong, but where?"
		"tipped_415"					"Not your level!"
		"tipped_416"					"Well played!"
		"tipped_417"					"Is this a hateshow?"
		"tipped_418"					"TORA! TORA! TORA!"
		"tipped_419"					"Did i hear a squeak?"
		"tipped_420"					"Did you run around?"
		"tipped_421"					"This is the way..."
		"tipped_422"					"No need uncle."
		"tipped_423"					"Catching flashbacks."
		"tipped_424"					"Adyos Pajasos."
		"tipped_425"					"Did you get it?"
		"tipped_426"					"(×﹏×)"
		"tipped_427"					"Actors in the lobby!"
		"tipped_428"					"322 is 322!"
		"tipped_429"					"Bad luck..."
		"tipped_430"					"Cheeeeampics!"
		"tipped_431"					"Yamete Kudasai!"
		"tipped_432"					"Three spaces, go."
		"tipped_703"					"Old god!"
		"tipped_704"					"A swarm of fleas!"
		"tipped_717"					"CHMA!"
		"tipped_718"					"Good!"
		"tipped_719"					"Strength!"
		"tipped_720"					"Weakness!"
		"tipped_721"					"1st."

		"tipped_868"					"A little strong."
		"tipped_869"					"Feel the power."
		"tipped_870"					"You're weak!"
		"tipped_871"					"GOD OF STRENGTH!"
		"tipped_872"					"A little agile."
		"tipped_873"					"Feel the speed."
		"tipped_874"					"You're slow!"
		"tipped_875"					"GOD OF AGILITY!"
		"tipped_876"					"A little smart."
		"tipped_877"					"Feel the intelligence."
		"tipped_878"					"You're stupid!"
		"tipped_879"					"GOD OF INTELLIGENCE!"
		"tipped_880"					"A little weird."
		"tipped_881"					"Feel me."
		"tipped_882"					"You're weird!"
		"tipped_883"					"GOD OF UNIVERSALS!"
		"tipped_884"					"What's the point?"
		"tipped_885"					"I'm not losing."
		"tipped_886"					"The bottom is torn..."
		"tipped_887"					"Golden pig!"

		"tipped_941"					"Are you in a clan?"
		"tipped_942"					"42 42 42 42 42."
		"tipped_943"					"Stop time?"
		"tipped_944"					"Final stop."
		"tipped_945"					"Careful!"

"tipped_1017"					"Mom, I'm a streamer."
"tipped_1018"					"Mouse seated?"
"tipped_1019"					"Bot have played better."
"tipped_1021"					"Was that intended?"
"tipped_1022"					"Hope for a miracle."
"tipped_1023"					"You're a meme."
"tipped_1024"					"Is this your maximum?"
"tipped_1025"					"Pff, funny."
"tipped_1026"					"Too slow."
"tipped_1027"					"Where's your reaction?"
"tipped_1028"					"Shit whisperer."

"tipped_1017_description"		"Unique text phrase for tip."
"tipped_1018_description"		"Unique text phrase for tip."
"tipped_1019_description"		"Unique text phrase for tip."
"tipped_1021_description"		"Unique text phrase for tip."
"tipped_1022_description"		"Unique text phrase for tip."
"tipped_1023_description"		"Unique text phrase for tip."
"tipped_1024_description"		"Unique text phrase for tip."
"tipped_1025_description"		"Unique text phrase for tip."
"tipped_1026_description"		"Unique text phrase for tip."
"tipped_1027_description"		"Unique text phrase for tip."
"tipped_1028_description"		"Unique text phrase for tip."
		

		"tipped_435_description"		"Unique text phrase for tip."
		"tipped_436_description"		"Unique text phrase for tip."
		"tipped_437_description"		"Unique text phrase for tip."
		"tipped_438_description"		"Unique text phrase for tip."
		"tipped_439_description"		"Unique text phrase for tip."
		"tipped_440_description"		"Unique text phrase for tip."
		"tipped_441_description"		"Unique text phrase for tip."
		"tipped_442_description"		"Unique text phrase for tip."
		"tipped_443_description"		"Unique text phrase for tip."
		"tipped_444_description"		"Unique text phrase for tip."
		"tipped_445_description"		"Unique text phrase for tip."
		"tipped_446_description"		"Unique text phrase for tip."
		"tipped_447_description"		"Unique text phrase for tip."
		"tipped_448_description"		"Unique text phrase for tip."
		"tipped_449_description"		"Unique text phrase for tip."
		"tipped_450_description"		"Unique text phrase for tip."
		"tipped_451_description"		"Unique text phrase for tip."
		"tipped_452_description"		"Unique text phrase for tip."
		"tipped_453_description"		"Unique text phrase for tip."
		"tipped_454_description"		"Unique text phrase for tip."
		"tipped_455_description"		"Unique text phrase for tip."
		"tipped_456_description"		"Unique text phrase for tip."
		"tipped_457_description"		"Unique text phrase for tip."
		"tipped_458_description"		"Unique text phrase for tip."
		"tipped_459_description"		"Unique text phrase for tip."
		"tipped_460_description"		"Unique text phrase for tip."
		"tipped_461_description"		"Unique text phrase for tip."
		"tipped_462_description"		"Unique text phrase for tip."
		"tipped_463_description"		"Unique text phrase for tip."
		"tipped_464_description"		"Unique text phrase for tip."
		"tipped_465_description"		"Unique text phrase for tip."
		"tipped_466_description"		"Unique text phrase for tip."
		"tipped_467_description"		"Unique text phrase for tip."
		"tipped_468_description"		"Unique text phrase for tip."
		"tipped_469_description"		"Unique text phrase for tip."
		"tipped_470_description"		"Unique text phrase for tip."
		"tipped_471_description"		"Unique text phrase for tip."
		"tipped_472_description"		"Unique text phrase for tip."
		"tipped_473_description"		"Unique text phrase for tip."
		"tipped_474_description"		"Unique text phrase for tip."
		"tipped_475_description"		"Unique text phrase for tip."
		"tipped_476_description"		"Unique text phrase for tip."
		"tipped_477_description"		"Unique text phrase for tip."
		"tipped_478_description"		"Unique text phrase for tip."
		"tipped_479_description"		"Unique text phrase for tip."
		"tipped_480_description"		"Unique text phrase for tip."
		"tipped_481_description"		"Unique text phrase for tip."
		"tipped_482_description"		"Unique text phrase for tip."
		"tipped_405_description"		"Unique text phrase for tip."
		"tipped_406_description"		"Unique text phrase for tip."
		"tipped_407_description"		"Unique text phrase for tip."
		"tipped_408_description"		"Unique text phrase for tip."
		"tipped_409_description"		"Unique text phrase for tip."
		"tipped_410_description"		"Unique text phrase for tip."
		"tipped_411_description"		"Unique text phrase for tip."
		"tipped_412_description"		"Unique text phrase for tip."
		"tipped_413_description"		"Unique text phrase for tip."
		"tipped_414_description"		"Unique text phrase for tip."
		"tipped_415_description"		"Unique text phrase for tip."
		"tipped_416_description"		"Unique text phrase for tip."
		"tipped_417_description"		"Unique text phrase for tip."
		"tipped_418_description"		"Unique text phrase for tip."
		"tipped_419_description"		"Unique text phrase for tip."
		"tipped_420_description"		"Unique text phrase for tip."
		"tipped_421_description"		"Unique text phrase for tip."
		"tipped_422_description"		"Unique text phrase for tip."
		"tipped_423_description"		"Unique text phrase for tip."
		"tipped_424_description"		"Unique text phrase for tip."
		"tipped_425_description"		"Unique text phrase for tip."
		"tipped_426_description"		"Unique text phrase for tip."
		"tipped_427_description"		"Unique text phrase for tip."
		"tipped_428_description"		"Unique text phrase for tip."
		"tipped_429_description"		"Unique text phrase for tip."
		"tipped_430_description"		"Unique text phrase for tip."
		"tipped_431_description"		"Unique text phrase for tip."
		"tipped_432_description"		"Unique text phrase for tip."
		"tipped_703_description"		"Unique text phrase for tip."
		"tipped_704_description"		"Unique text phrase for tip."
		"tipped_717_description"		"Unique text phrase for tip."
		"tipped_718_description"		"Unique text phrase for tip."
		"tipped_719_description"		"Unique text phrase for tip."
		"tipped_720_description"		"Unique text phrase for tip."
		"tipped_721_description"		"Unique text phrase for tip."

		"tipped_868_description"		"Unique text phrase for tip."
		"tipped_869_description"		"Unique text phrase for tip."
		"tipped_870_description"		"Unique text phrase for tip."
		"tipped_871_description"		"Unique text phrase for tip."
		"tipped_872_description"		"Unique text phrase for tip."
		"tipped_873_description"		"Unique text phrase for tip."
		"tipped_874_description"		"Unique text phrase for tip."
		"tipped_875_description"		"Unique text phrase for tip."
		"tipped_876_description"		"Unique text phrase for tip."
		"tipped_877_description"		"Unique text phrase for tip."
		"tipped_878_description"		"Unique text phrase for tip."
		"tipped_879_description"		"Unique text phrase for tip."
		"tipped_880_description"		"Unique text phrase for tip."
		"tipped_881_description"		"Unique text phrase for tip."
		"tipped_882_description"		"Unique text phrase for tip."
		"tipped_883_description"		"Unique text phrase for tip."
		"tipped_884_description"		"Unique text phrase for tip."
		"tipped_885_description"		"Unique text phrase for tip."
		"tipped_886_description"		"Unique text phrase for tip."
		"tipped_887_description"		"Unique text phrase for tip."

		"tipped_941_description"		"Unique text phrase for tip."
		"tipped_942_description"		"Unique text phrase for tip."
		"tipped_943_description"		"Unique text phrase for tip."
		"tipped_944_description"		"Unique text phrase for tip."
		"tipped_945_description"		"Unique text phrase for tip."

		"pet_1"			"Fearless Badger"
		"pet_2"			"Morok's"
		"pet_3"			"Skip the Delivery Frog"
		"pet_4"			"Speed Demon"
		"pet_5"			"Mighty Boar"
		"pet_6"			""
		"pet_7"			"Stumpy"
		"pet_8"			"Tickled Tegu"
		"pet_9"			"Trusty Mountain Yak"
		"pet_10"		"Alphid of Lecaciida"
		"pet_11"		"Arnabus the Fairy Rabbit"
		"pet_12"		"Axolotl"
		"pet_13"		"Beaver Knight"
		"pet_14"		"Butch"
		"pet_15"		"Captain Bamboo"
		"pet_16"		"Coco the Courageous"
		"pet_17"		"Coral the Furryfish"
		"pet_18"		"Spooly"
		"pet_19"		""
		"pet_20"		"Duskie"
		"pet_21"		""
		"pet_22"		"El Gato"
		"pet_23"		"Serac the Seal"
		"pet_24"		"Inky the Hexapus"
		"pet_25"		""
		"pet_26"		"Porcine Princess Penelope"
		"pet_27"		""
		"pet_28"		"Ol' Joe"
		"pet_29"		"Itsy"
		"pet_30"		"Yonex's Rage"
		"pet_31"		"White Fox Spirits"
		"pet_32"		"Black Fox Spirits"
		"pet_33"		"Hexgill the Lane Shark"
		"pet_34"		"Jumo"
		"pet_35"		"Kupu the Metamorpher"
		"pet_36"		""
		"pet_37"		"The Llama Llama"
		"pet_38"		"Eager Drocsnozzle"
		"pet_39"		""
		"pet_40"		"Mango the Newt"
		"pet_41"		"Mei Nei the Jade Rabbit"
		"pet_42"		"Cluckles the Brave"
		"pet_43"		"Mok"
		"pet_44"		"Hyeonmu"
		"pet_45"		"Wynchell the Wyrmeleon"
		"pet_46"		""
		"pet_47"		""
		"pet_48"		"Scuttling Scotty"
		"pet_49"		"Shroomy"
		"pet_50"		"Amaterasu"
		"pet_51"		"Boooofus"
		"pet_52"		"Lord of Tempests"
		"pet_53"		""
		"pet_54"		"Shagbark"
		"pet_55"		"Hakobi and Tenneko"
		"pet_56"		"Butter Blunder"
		"pet_57"		"Redpaw"
		"pet_58"		"Snelfret the Snail"
		"pet_59"		"Snapjaw"
		"pet_60"		"Snowl"
		"pet_61"		""
		"pet_62"		"Tinkbot"
		"pet_63"		"Tory the Sky Guardian"
		"pet_64"		"Dire Construct"
		"pet_65"		"Radiant Construct"
		"pet_66"		""
		"pet_67"		""
		"pet_68"		"Wibbley"
		"pet_69"		"Waldi the Faithful"
		"pet_70"		"Woodchopper"
		"pet_71"		"Travelling Automaton"
		"pet_72"		"White the Blueheart"
		"pet_73"		"Krane the Enlightened"
		"pet_74"		"Fraidy Jack"
		"pet_75"		"Nilbog the Mad"
		"pet_76"		"Trod & Cheddar"
		"pet_77"		"Zombie Hopper"
		"pet_78"		"Huntling"
		"pet_79"		"Seekling"
		"pet_80"		"Venoling"
		"pet_81"		"Devourling"
		"pet_82"		"Krobeling"
		"pet_83"		"Doomling"
		"pet_84"		""
		"pet_85"		"Blazing Hatchling"
		"pet_86"		"Faceless Rex"
		"pet_87"		"Lil' Nova"
		"pet_88"		"Pouches Gem of True Sight"
		"pet_89"		"Pouches Ultimate Orb"
		"pet_90"		"Pouches Linken’s Sphere"
		"pet_91"		"Pouches Refresher Orb"
		"pet_92"		"Pouches Octarine"
		"pet_93"		"Lefty Gem of Truesight"
		"pet_94"		"Lefty Ultimate Orb"
		"pet_95"		"Lefty Linken's Sphere"
		"pet_96"		"Lefty Refresher Orb"
		"pet_97"		"Lefty Octarine Core"
		"pet_98"		"Brightskye Gem"
		"pet_99"		"Brightskye Ultimate Orb"
		"pet_100"		"Brightskye Soul Booster"
		"pet_101"		"Brightskye Refresher Orb"
		"pet_102"		"Brightskye Octarine Core"
		"pet_103"		"Baby Roshan"
		"pet_104"		"Platinum Baby Roshan"
		"pet_105"		"Desert Sands Baby Roshan"
		"pet_106"		"Jade Baby Roshan"
		"pet_107"		"Lava Baby Roshan"
		"pet_108"		"Ice Baby Roshan"
		"pet_109"		"Honey Heist Baby Roshan"
		"pet_110"		""
		"pet_111"		""
		"pet_112"		"Gingerbread Baby Roshan"
		"pet_113"		"Golden Huntling"
		"pet_114"		"Golden Seekling"
		"pet_115"		"Golden Venoling"
		"pet_116"		"Golden Devourling"
		"pet_117"		"Golden Krobeling"
		"pet_118"		"Golden Doomling"
		"pet_119"		"Golden Greevil"
		"pet_120"		"Golden Pouches"
		"pet_121"		"Golden Lefty"
		"pet_122"		"Golden Brightskye"
		"pet_123"		"Golden Baby Roshan"
		"pet_124"		"Radiant Courier"
		"pet_125"		"Dire Courier"

		"pet_157"		"Scree Auk Baby Roshan"
		"pet_126"		"Aghanim Donkey"
		"pet_129"		"Beetlejaws the Boxhound"
		"pet_130"		"Hwytty Shyzzyrd"
		"pet_131"		"Strongback the Swift"
		"pet_132"		"Secret Golden Pet"
		"pet_133"		"Trapjaw the Boxhound"
		"pet_135"		"Greevilhorn"
		"pet_136"		"Taffied Transport"
		"pet_137"		"Cotton Dandy"
		"pet_138"		"Amphibian Kid"
		"pet_139"		"Atrophic Skitterwing"
		"pet_140"		"Ruddy and Rannoff"
		"pet_141"		"Blazing Hatchling"
		"pet_142"		"Carty"
		"pet_143"		"Mechjaw the Boxhound"
		"pet_144"		"Boots of Travel Crab"
		"pet_145"		"Eager Drocsnozzle"
		"pet_146"		"Golden Hyeonmu"
		"pet_147"		"Scribbins the Scarab"
		"pet_148"		"Necronomicon Crab"
		"pet_149"		"Poor Shield Crab"
		"pet_150"		"Aegis Crab"
		"pet_151"		"Eye of Skadi Crab"
		"pet_153"		"Holy Imp"
		"pet_154"		"Golden Beetlebark"
		"pet_155"		"Boris Baumhauer"
		"pet_156"		"Blue Lightning"

		"pet_158"		"Flopjaw the Boxhound"
		"pet_159"		"Patch, Stash, and Hobb"
		"pet_160"		"Dark Demon"

		"pet_180"		"Memorial Stripes"
		"pet_181"		"The Emperor"
		"pet_182"		"Buzzy Bee"
		"pet_183"		"Apprentice Fiver"
		"pet_184"		"Pretty in Pink"
		"pet_185"		"Pumpkins Revenge"


		"pet_180_description"			"Collection Courier. He will run next to you!"
		"pet_181_description"			"Collection Courier. He will run next to you!"
		"pet_182_description"			"Collection Courier. He will run next to you!"
		"pet_183_description"			"Collection Courier. He will run next to you!"
		"pet_184_description"			"Collection Courier. He will run next to you!"
		"pet_185_description"			"Collection Courier. He will run next to you!"


		"pet_1_description"			"Collection Courier. He will run next to you!"
		"pet_2_description"			"Collection Courier. He will run next to you!"
		"pet_3_description"			"Collection Courier. He will run next to you!"
		"pet_4_description"			"Collection Courier. He will run next to you!"
		"pet_5_description"			"Collection Courier. He will run next to you!"
		"pet_6_description"			"Collection Courier. He will run next to you!"
		"pet_7_description"			"Collection Courier. He will run next to you!"
		"pet_8_description"			"Collection Courier. He will run next to you!"
		"pet_9_description"			"Collection Courier. He will run next to you!"
		"pet_10_description"		"Collection Courier. He will run next to you!"
		"pet_11_description"		"Collection Courier. He will run next to you!"
		"pet_12_description"		"Collection Courier. He will run next to you!"
		"pet_13_description"		"Collection Courier. He will run next to you!"
		"pet_14_description"		"Collection Courier. He will run next to you!"
		"pet_15_description"		"Collection Courier. He will run next to you!"
		"pet_16_description"		"Collection Courier. He will run next to you!"
		"pet_17_description"		"Collection Courier. He will run next to you!"
		"pet_18_description"		"Collection Courier. He will run next to you!"
		"pet_19_description"		"Collection Courier. He will run next to you!"
		"pet_20_description"		"Collection Courier. He will run next to you!"
		"pet_21_description"		"Collection Courier. He will run next to you!"
		"pet_22_description"		"Collection Courier. He will run next to you!"
		"pet_23_description"		"Collection Courier. He will run next to you!"
		"pet_24_description"		"Collection Courier. He will run next to you!"
		"pet_25_description"		"Collection Courier. He will run next to you!"
		"pet_26_description"		"Collection Courier. He will run next to you!"
		"pet_27_description"		"Collection Courier. He will run next to you!"
		"pet_28_description"		"Collection Courier. He will run next to you!"
		"pet_29_description"		"Collection Courier. He will run next to you!"
		"pet_30_description"		"Collection Courier. He will run next to you!"
		"pet_31_description"		"Collection Courier. He will run next to you!"
		"pet_32_description"		"Collection Courier. He will run next to you!"
		"pet_33_description"		"Collection Courier. He will run next to you!"
		"pet_34_description"		"Collection Courier. He will run next to you!"
		"pet_35_description"		"Collection Courier. He will run next to you!"
		"pet_36_description"		"Collection Courier. He will run next to you!"
		"pet_37_description"		"Collection Courier. He will run next to you!"
		"pet_38_description"		"Collection Courier. He will run next to you!"
		"pet_39_description"		"Collection Courier. He will run next to you!"
		"pet_40_description"		"Collection Courier. He will run next to you!"
		"pet_41_description"		"Collection Courier. He will run next to you!"
		"pet_42_description"		"Collection Courier. He will run next to you!"
		"pet_43_description"		"Collection Courier. He will run next to you!"
		"pet_44_description"		"Collection Courier. He will run next to you!"
		"pet_45_description"		"Collection Courier. He will run next to you!"
		"pet_46_description"		"Collection Courier. He will run next to you!"
		"pet_47_description"		"Collection Courier. He will run next to you!"
		"pet_48_description"		"Collection Courier. He will run next to you!"
		"pet_49_description"		"Collection Courier. He will run next to you!"
		"pet_50_description"		"Collection Courier. He will run next to you!"
		"pet_51_description"		"Collection Courier. He will run next to you!"
		"pet_52_description"		"Collection Courier. He will run next to you!"
		"pet_53_description"		"Collection Courier. He will run next to you!"
		"pet_54_description"		"Collection Courier. He will run next to you!"
		"pet_55_description"		"Collection Courier. He will run next to you!"
		"pet_56_description"		"Collection Courier. He will run next to you!"
		"pet_57_description"		"Collection Courier. He will run next to you!"
		"pet_58_description"		"Collection Courier. He will run next to you!"
		"pet_59_description"		"Collection Courier. He will run next to you!"
		"pet_60_description"		"Collection Courier. He will run next to you!"
		"pet_61_description"		"Collection Courier. He will run next to you!"
		"pet_62_description"		"Collection Courier. He will run next to you!"
		"pet_63_description"		"Collection Courier. He will run next to you!"
		"pet_64_description"		"Collection Courier. He will run next to you!"
		"pet_65_description"		"Collection Courier. He will run next to you!"
		"pet_66_description"		"Collection Courier. He will run next to you!"
		"pet_67_description"		"Collection Courier. He will run next to you!"
		"pet_68_description"		"Collection Courier. He will run next to you!"
		"pet_69_description"		"Collection Courier. He will run next to you!"
		"pet_70_description"		"Collection Courier. He will run next to you!"
		"pet_71_description"		"Collection Courier. He will run next to you!"
		"pet_72_description"		"Collection Courier. He will run next to you!"
		"pet_73_description"		"Collection Courier. He will run next to you!"
		"pet_74_description"		"Collection Courier. He will run next to you!"
		"pet_75_description"		"Collection Courier. He will run next to you!"
		"pet_76_description"		"Collection Courier. He will run next to you!"
		"pet_77_description"		"Collection Courier. He will run next to you!"
		"pet_78_description"		"Collection Courier. He will run next to you!"
		"pet_79_description"		"Collection Courier. He will run next to you!"
		"pet_80_description"		"Collection Courier. He will run next to you!"
		"pet_81_description"		"Collection Courier. He will run next to you!"
		"pet_82_description"		"Collection Courier. He will run next to you!"
		"pet_83_description"		"Collection Courier. He will run next to you!"
		"pet_84_description"		"Collection Courier. He will run next to you!"
		"pet_85_description"		"Collection Courier. He will run next to you!"
		"pet_86_description"		"Collection Courier. He will run next to you!"
		"pet_87_description"		"Collection Courier. He will run next to you!"
		"pet_88_description"		"Collection Courier. He will run next to you!"
		"pet_89_description"		"Collection Courier. He will run next to you!"
		"pet_90_description"		"Collection Courier. He will run next to you!"
		"pet_91_description"		"Collection Courier. He will run next to you!"
		"pet_92_description"		"Collection Courier. He will run next to you!"
		"pet_93_description"		"Collection Courier. He will run next to you!"
		"pet_94_description"		"Collection Courier. He will run next to you!"
		"pet_95_description"		"Collection Courier. He will run next to you!"
		"pet_96_description"		"Collection Courier. He will run next to you!"
		"pet_97_description"		"Collection Courier. He will run next to you!"
		"pet_98_description"		"Collection Courier. He will run next to you!"
		"pet_99_description"		"Collection Courier. He will run next to you!"
		"pet_100_description"		"Collection Courier. He will run next to you!"
		"pet_101_description"		"Collection Courier. He will run next to you!"
		"pet_102_description"		"Collection Courier. He will run next to you!"
		"pet_103_description"		"Collection Courier. He will run next to you!"
		"pet_104_description"		"Collection Courier. He will run next to you!"
		"pet_105_description"		"Collection Courier. He will run next to you!"
		"pet_106_description"		"Collection Courier. He will run next to you!"
		"pet_107_description"		"Collection Courier. He will run next to you!"
		"pet_108_description"		"Collection Courier. He will run next to you!"
		"pet_109_description"		"Collection Courier. He will run next to you!"
		"pet_110_description"		"Collection Courier. He will run next to you!"
		"pet_111_description"		"Collection Courier. He will run next to you!"
		"pet_112_description"		"Collection Courier. He will run next to you!"
		"pet_113_description"		"Collection Courier. He will run next to you!"
		"pet_114_description"		"Collection Courier. He will run next to you!"
		"pet_115_description"		"Collection Courier. He will run next to you!"
		"pet_116_description"		"Collection Courier. He will run next to you!"
		"pet_117_description"		"Collection Courier. He will run next to you!"
		"pet_118_description"		"Collection Courier. He will run next to you!"
		"pet_119_description"		"Collection Courier. He will run next to you!"
		"pet_120_description"		"Collection Courier. He will run next to you!"
		"pet_121_description"		"Collection Courier. He will run next to you!"
		"pet_122_description"		"Collection Courier. He will run next to you!"
		"pet_123_description"		"Collection Courier. He will run next to you!"
		"pet_124_description"		"Collection Courier. He will run next to you!"
		"pet_125_description"		"Collection Courier. He will run next to you!"

		"pet_157_description"		"Collection Courier. He will run next to you!"
		"pet_126_description"		"Collection Courier. He will run next to you!"
		"pet_129_description"		"Collection Courier. He will run next to you!"
		"pet_130_description"		"Collection Courier. He will run next to you!"
		"pet_131_description"		"Collection Courier. He will run next to you!"
		"pet_132_description"		"Collection Courier. He will run next to you!"
